Title,Schedule,Description,Location,Phone,Email,Website
ACE - Adult Community Education (Leigh),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"Magnum House, 33, Lord Street, LEIGH, WN7 1BY, 01942 262890",N/A,N/A,N/A
ACE - Adult Community Education (Wigan),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"46, Market St, WIGAN, WN1 1HX, 01942 829321",N/A,N/A,N/A
Greenslate Community Farm,N/A,For full information and details please visit the website below.,"Greenslate Community Farm, Greenslate Lodge, Greenslate Road, Billinge, Wigan, WN5 7BG",N/A,N/A,N/A
Haigh Hall and Country Park,Open all year round.,Facilities include: Haigh Hall Venue Nature trails and Woodlands Craft Gallery which holds craft classes Playground for children of all ages Crazy Golf Adventure Activities are available for groups through the Wardens Conservation Task Days Haigh Hall Golf Complex Haigh High Ropes Kitchen Courtyard Open…,"School Lane, Haigh, WIGAN, WN2 1PE",N/A,N/A,N/A
Just BU,N/A,"Our service supports and encourages even the shyest of people to get out there, and Just Be You. Just BU can help with: Develop Your Independence Gain Work Experience Get Qualified Get Involved with the Community Have Fun For more information on all the above…","Hindsford House, Printshop Lane, Atherton, Manchester, M46 9BJ",N/A,N/A,N/A
LifeBeats,N/A,"LifeBeats provides creative music sessions for people with learning/physical challenges. I currently provide sessions for My Life Legacy, Thrive CIC, True Colours CIC, CORE CIC and other day-care organisations in and around Wigan delivering music sessions using colour-assisted drums, song, dance, sign language, ukulele sessions,…",07403380486,N/A,N/A,N/A
My Life,Open Monday to Friday from 9am to 6pm,"We aim to reduce social isolation and loneliness by bringing people together. With My Life, you can meet new friends, build relationships, learn new things, gain confidence, be more independent, have fun and take an active part in your local community. Our services We offer a range of services, tailored to…","Thompson House Equestrian Centre, Off Pepper Lane, Standish, Wigan, Greater Manchester, WN6 0PP, 01257 472 900",N/A,N/A,N/A
One Vision Media,N/A,"At One Vision Studios we provide an alternative community based training and activities programme in film and media education; taking a person centred, needs led approach to learning and support that will enable individuals to make informed choices about themselves and their education. For full…","Hope Enterprise Centre, Wigan, WN5 0PN",N/A,N/A,N/A
Peak - Outdoor Education Alternative Provision,Open Monday - Friday 09:00 - 17:00. Students can come to us for no more than 4 consecutive days per week.,"At Peak, our Development Programme offers an educational approach for children with SEND that leverages adventure-based activities and experiences to enhance the learning process for young people who find engagement in mainstream education challenging for various reasons. Peak sits within the Keys Group https://www.keyschildren.co.uk/ , meaning that…","Trafford Watersports Centre, Rifle Road, Rifle Road, Sale, Greater Manchester, M33 2LX",N/A,N/A,N/A
Wigan and St Helens Sailing Club,N/A,"We are a family-friendly sailing club based on Scotsman’s Flash off Poolstock Road in Wigan, offering a wide range of sailing opportunities. We are a recognised training centre, running the Royal Yachting Association’ Level Two certificate in dinghy sailing. This is held in the evenings…",N/A,N/A,N/A,N/A
