Title,Schedule,Description,Location,Phone,Email,Website
Duke of Edinburgh's Award,N/A,"The Duke of Edinburgh’s Award (D of E) is a programme of adventurous, practical and cultural activities to help you learn new skills and meet new friends. The Award is recognised all over the country as being a great achievement so is a good thing…",WN5 0UU,N/A,N/A,N/A
Fabulous at Phonics!,"Availability weekdays, evenings and weekends","Fabulous at Phonics helps your child become a confident reader and writer. Our 1:1 tuition is through monthly subscription boxes, online or face-to-face lessons & can help you prepare your child for school & their ongoing learning journey through the Early Years Foundation Stage, Key…","Hindley, WN2 2SW, 07539008293",N/A,N/A,N/A
First Tutors,N/A,"First Tutors was established in 2005 with the aim of helping people find great tutors in their local area and online. As the first service of our kind, we have won industry awards, been recommended by The Good Schools Guide and appear regularly in the…",08432 899165,N/A,N/A,N/A
Fun Spanish Classes for children age 1.5-11 years old in Leigh & surrounding areas,Monday to Friday 10am - 6pm,"Help you child become bilingual with our Full Immersion approach, which means that your little one will be completely submerged in the language from Day 1!  With our fun classes, engaging resources and follow up activities they are not only learning Spanish, they are opening their view to…","Wigan Rd, Leigh, WN7 5HD",N/A,N/A,N/A
The Grange at Hope School and College,N/A,"The Grange offers a busy, vibrant and varied environment. We follow a multi-sensory programme which is delivered via a topic based approach. Topics are chosen to make activities interesting and stimulating and that match each young person’s individual needs. Sessions are planned and delivered in…","Hope Special School, Kelvin Grove, Wigan, WN3 6SP",N/A,N/A,N/A
Help with Maths and English,N/A,"At the Kip Mcgrath Centre in Leigh, Greater Manchester, we specialise in tutoring Mathematics and English to children from 6 years old to GCSE in the Leigh area. We provide help for students who have fallen behind at school, need 'extending' or their confidence building.…","85, Church street, Leigh, Lancashire, WN7 1AZ",N/A,N/A,N/A
Home Education,N/A,Educating children at home works well when it is a positive choice and carried out with a proper regard for the needs of the child. The law imposes a duty on parents and guardians of children of compulsory school age (currently 5 to 16 years…,WN1 1AZ,N/A,N/A,N/A
Kip McGrath Education Centre - Ashton-in-Makerfield,N/A,Kip McGrath in Ashton-in-Makerfield is a warm and welcoming centre located on Wigan Road near Ashton Library.    We offer high quality Maths and English tuition to children from ages 5-16. Including SATs and GCSE tuition. We provide help for students who have fallen behind…,"23, Wigan Road,, Ashton-in-Makerfield, WIGAN, Greater Manchester, WN4 9AR, 01942 949689",N/A,N/A,N/A
Primary Schools,N/A,"For information on local Primary Schools including term dates, school meals, school admissions and more please select the following link and find out more Schools (wigan.gov.uk) If you are new to the area and are unsure where your local Primary school is located select the following…",N/A,N/A,N/A,N/A
Secondary Schools,N/A,Here you can find information about applying for your child’s secondary school: National Offer Day Applying for secondary schools Late applications Church Forms Select the link below for full details. Secondary School Admissions If you are new to the area and are unsure where your local…,N/A,N/A,N/A,N/A
St Vincent's School. A Specialist School for Sensory Impairment and Other Needs,N/A,"Since 1850 we have had a tradition of excellence in the education and care of children with a visual impairment. We specialise in providing an all-round education maximising academic achievement, personal development, independence and self worth. We cater for pupils from Foundation Stage to Post 16, offering day, extended…","Yew Tree lane, West Derby, Liverpool, L12 9HN",N/A,N/A,N/A
Tutoring4You - Personalised Online Tuition,N/A,Our ecosystem of learning caters to each child specifically and it's our 1:1 approach that ensures all of our students fulfil their potential! Book a free taster lesson with your best-fit tutor today.,N/A,N/A,N/A,N/A
Wigan Independent SEND School,N/A,"Expanse WISS provides places for a maximum number of 31 students and consequently is a small, personalised and nurturing environment for young people aged 11-16 with Special Educational Needs and Disabilities, Social, Emotional Mental Health issues and for those young people who have found a mainstream…","Tyrer Ave, Worsley Mesenes, Wigan, Greater Manchester, WN3 5XE",N/A,N/A,N/A
