Title,Schedule,Description,Location,Phone,Email,Website
ACE - Adult Community Education (Leigh),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"Magnum House, 33, Lord Street, LEIGH, WN7 1BY, 01942 262890",N/A,N/A,N/A
ACE - Adult Community Education (Wigan),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"46, Market St, WIGAN, WN1 1HX, 01942 829321",N/A,N/A,N/A
After School Pottery Club,Every Monday between 4pm & 5.30pm,"Running from 4pm - 5.30pm, it’s the perfect activity to allow your kids to get creative with clay and unwind after a long day at school. Each session, our skilled instructors will guide them through a series of relaxed but hands-on sessions, with a different…","Gerrard Winstanley House, Crawford St, Wigan, Greater Manchester, WN1 1NA",N/A,N/A,N/A
Captain's Lane Community Centre,N/A,"Built in the 1960s, the centre served as a youth club until 1995 when it was in danger of closure. Through the efforts of committed members and local volunteers it was established as an independent community organisation, and continues to provide facilities for a variety…","Captain's Lane (off Bolton Road), Ashton-in-Makerfield, WIGAN, LANCASHIRE, WN4 8PG, 07982 929507",N/A,N/A,N/A
Children in Care Activity Groups,N/A,"If you're in care and aged 7-12 (Junior) or 13-19 (Senior) you're welcome to come along to one of these groups in your local area. Junior groups offer activities such as archery, arts and crafts, cookery and games. The senior group gives you the chance to influence…",01942 487100,N/A,N/A,N/A
Craft Club - Westleigh - (Term Time),Thursday's 3.30-4.30pm,Come and show off your creative side. Thursday's 3.30-4.30pm 4-11 years Drop In,"Westleigh Start Well Family Centre, Westleigh Lane, Leigh, Leigh, WN7 5NJ",N/A,N/A,N/A
Daisy Chain Stitchers,Tuesdays (weekly),"Meeting every Tuesday afternoon 1pm - 3pm at Clifton Street Community Centre. We offer traditional needlework including crochet, knitting, embroidery and work on individual and collaborative pieces.","Clifton Street, Wigan, Greater Manchester, WN3 5HN",N/A,N/A,N/A
Free Arts and Crafts Wellbeing Sessions,Tuesdays from 9th April 2024 at 12 PM,Our Mission at Craftopia is to improve mental health and wellbeing through arts and crafts. We are running weekly wellbeing sessions for adults who may be struggling with their mental health and wellbeing and/or social isolation. Research shows that engaging in arts and crafts can…,Atherton,N/A,N/A,N/A
The HUB CIC,N/A,"A home from home day Hub for older adults & those living with Dementia, Learning/Physical disabilities.   Situated close to Leigh town centre in a modern building. We provide a small fun & social environment for older adults and provide essential respite & support for Carers…","Little Rainbows 2 Day Nursery, 30, East Bond Street, Leigh, WN7 1BP, 07983867678, 01942 673327",N/A,N/A,N/A
Latics Extra Time Hub,N/A,"Extra time provides activity session for those over 55 in the wigan borough to reduce isolation and improve overall well-being . Each session varies with activity to suit all abilities and tastes, from table tennis, dominoes, quizzes to seated Tia chi, dance walking football and…",N/A,N/A,N/A,N/A
My Life at Leigh Sports Village,Open Monday to Friday from 9am until 6pm,"We aim to reduce social isolation and loneliness by bringing people together. With My Life, you can meet new friends, build relationships, learn new things, gain confidence, be more independent, have fun and take an active part in your local community. Our services We offer…","Leigh Sports Village, Sale Way, Leigh, WN7 4JY",N/A,N/A,N/A
The One House Community Centre,"Monday, Wednesday, Friday and Saturday mornings 9am till 12 midday","We are an entirely volunteer run Community Centre with the following activities: Monday, Wednesday, Friday and Saturday mornings, we open as Community Cafe between the hours of 0900 and 1200 (last orders for food is 1130). 1st Monday of the month, the Centre is used…","45 Haigh Road,, Aspull,, Wigan, Aspull, Wigan, Greater Manchester, WN2 1RR",N/A,N/A,N/A
ReMade Wigan furniture painting workshop,"Open weekdays, please check availability through mobile number first - 10:00am til 3pm","ReMade provides a safe women's only space where we can paint furniture. Simple activities that allow women to gain confidence, skills and joy.  We offer drop ins that are free to access for any women where we share skills around redesigning and painting waste furniture.…","Montrose Avenue, Wigan, WN5 9XN, 07907122971",N/A,N/A,N/A
St Thomas Church Ashton,N/A,Please visit their website provided and take a look at the Young Peoples activities taking place at St Thomas Church.,"18, Warrington Road, Ashton-in-makerfield, Wigan, WN4 9PL",N/A,N/A,N/A
Sunshine House Community Centre,N/A,"Located next to Scholes Precinct the Centre is bright, open, airy and well-used. It comprises a large community area, meeting rooms and offices. Activities for every sector of the community can be found taking place in this Centre.","OFF Vauxhall Road, Scholes, WIGAN, WN1 3SD, 01942 820026",N/A,N/A,N/A
The Turnpike,N/A,"The Turnpike offers a range of opportunities for children and young people to get involved in creative activities. From toddlers to teenagers and everything in between, we provide artist-led workshops and projects which are designed to develop skills, confidence and knowledge. To find out whats…","Market Street, Leigh, WN7 1EB",N/A,N/A,N/A
Wigan Youth Zone,"Wigan Youth Zone is open 7 days a week, offering sessions for young people every weeknight, over the weekend and school holidays.","What is Wigan Youth Zone? Wigan Youth Zone is a purpose-built, state-of-the-art youth facility in Wigan town centre which opened in June 2013. It offers young people from across Wigan the opportunity to meet friends, have new experiences, learn new skills and access the support…","Parsons Walk, Wigan, Greater Manchester, WN1 1RU, 01942 612061",N/A,N/A,N/A
Wigan Youth Zone - Junior Club,"Tuesdays evening and Saturday, Sunday afternoons from 11:00am",Wigan Youth Zone Junior Club offers our youngest members the most exciting and innovative play and leisure programme around. Children can access and experience a vast range of activities – all within the safety of our huge purpose-built centre. Please visit their website for full…,"Parsons Walk, WIGAN, WN1 1RU",N/A,N/A,N/A
