Title,Schedule,Description,Location,Phone,Email,Website
Bridge College - A special FE college,Monday to Friday 9am until 3:30pm,"We’re here to give students a voice in their future and get them ready for a happy, fulfilled adulthood. Our flexible curriculum means students can make choices about their education and our support gives them the tools to succeed. We develop individual learning plans shaped to suit each student’s…","Openshaw Campus, Whitworth Street, Manchester, M11 2GR, 0161 487 4293",N/A,N/A,N/A
The Grange at Hope School and College,N/A,"The Grange offers a busy, vibrant and varied environment. We follow a multi-sensory programme which is delivered via a topic based approach. Topics are chosen to make activities interesting and stimulating and that match each young person’s individual needs. Sessions are planned and delivered in…","Hope Special School, Kelvin Grove, Wigan, WN3 6SP",N/A,N/A,N/A
The Hamlet at Hope School and College,N/A,"The Hamlet is a continuation of Hope School & College‘s ‘Outstanding’ Legacy provision. We offer term-time day-provision for those young people aged 19-25 with additional needs who, at the time of admission, are independently competent, working at RQF Entry Level 1 or above and aim to progress to full-time…","Three Sisters Rd, Ashton-In-Makerfield, Wigan, WN4 8DD, 01942 324196",N/A,N/A,N/A
Nisai Virtual Academy Ltd,Term time only,"Nisai Virtual Academy know that everyone has equal value and should have access to high quality online education around the world. It is our mission to give traditional and non-traditional learners the skills to flourish through innovative online education. We provide an inclusive, supportive learning…",N/A,N/A,N/A,N/A
OriGym,N/A,"OriGym is a UK-leading provider of health and fitness qualifications. We offer a range of Ofqual-regulated and accredited courses including Personal Training, Sports Massage, Nutrition, and Yoga courses.    With more 5 star reviews than any other training provider and multiple award-nominations, including 'Education Provider…","10 Anjou Blvd, Wigan, Greater Manchester, WN5 0UJ",N/A,N/A,N/A
Runshaw College,N/A,"As a student at Runshaw College, you are at the heart of everything we do. Our simple ambition is that you are happy and fulfilled whilst achieving your dreams and ambitions during your time with us. We aim to provide: the very best teaching exceptional pastoral care, provided by our team of specialist personal tutors…","Langdale Road, Leyland, PR25 3DQ, 01772 642020",N/A,N/A,N/A
St John Rigby College,N/A,St John Rigby College is a Catholic sixth form college with a distinctive mission and ethos.  We welcome applications from all students who respect our mission and who are happy to be educated within a Christian environment. We encourage all students to be the best…,"Gathurst Rd, Orrell, Wigan, WN5 0LJ, 01942 214797",N/A,N/A,N/A
Tutoring4You - Personalised Online Tuition,N/A,Our ecosystem of learning caters to each child specifically and it's our 1:1 approach that ensures all of our students fulfil their potential! Book a free taster lesson with your best-fit tutor today.,N/A,N/A,N/A,N/A
West Lancashire College,N/A,"Based in the heart of Skelmersdale, West Lancashire College offers students a variety of courses to assist them in achieving their future career. West Lancashire College is a small, community based college, forming part of the NCG Group which is a large and successful national…","Northway Campus, College Way, Skelmersdale, Lancashire, WN8 6DX, 01695 52300",N/A,N/A,N/A
Wigan and Leigh College,N/A,"We have been providing quality education and training for the people of Wigan and beyond since 1857. We offer exceptional teaching, support and guidance in a range of academic, vocational, technical and apprenticeship programmes. We offer significant progression routes alongside key employability skills, preparing you…","Parson's Walk, Wigan, WN1 1RS, 01942 761 600",N/A,N/A,N/A
Winstanley College,N/A,"Winstanley College is one of the country's best Sixth Form Colleges. We cherish our culture of putting students at the centre of all we do, and we are proud of our reputation for academic excellence. Our standards for students are high, and you'll receive the…","Winstanley Road, Billinge, WN5 7XF, 01695 633244",N/A,N/A,N/A
