Title,Schedule,Description,Location,Phone,Email,Website
Armed Forces Community HQ CIC,N/A,"Our not-for-profit organisation was established in 2018 to provide a safe space for the Armed Forces Community to belong, become socially included and access better life chances as we Unite our community, inspire access to positive activities that impact health and wellbeing and support our community to Achieve better life chances.…","Molyneux House, School Lane, Wigan, WN1 3SE, 01942 821293",N/A,N/A,N/A
Creative Mindfulness for Dementia Course,TBC,"Are you or someone you care for living with a Dementia diagnosis? Would you like to live well with this disease, sooth your mind & body and have some fun? The first Creative Mindfulness for Dementia Course in 2023, based on the renowned Breathworks Mindfulness…","1, Kirby Road, Leigh, Greater Manchester, WN7 4EF",N/A,N/A,N/A
Help with Maths and English,N/A,"At the Kip Mcgrath Centre in Leigh, Greater Manchester, we specialise in tutoring Mathematics and English to children from 6 years old to GCSE in the Leigh area. We provide help for students who have fallen behind at school, need 'extending' or their confidence building.…","85, Church street, Leigh, Lancashire, WN7 1AZ",N/A,N/A,N/A
Kip McGrath Education Centre - Ashton-in-Makerfield,N/A,Kip McGrath in Ashton-in-Makerfield is a warm and welcoming centre located on Wigan Road near Ashton Library.    We offer high quality Maths and English tuition to children from ages 5-16. Including SATs and GCSE tuition. We provide help for students who have fallen behind…,"23, Wigan Road,, Ashton-in-Makerfield, WIGAN, Greater Manchester, WN4 9AR, 01942 949689",N/A,N/A,N/A
Next Level Learning Limited,Our office is open Monday to Friday 9am - 3pm (outreach services run later),"Next Level Learning are an Ofsted registered tuition service and alternative provision that deliver Maths, English and Science sessions to primary, secondary and post 16 pupils.  We use only fully qualified, and DBS checked teachers and the company has many years experience teaching pupils that…","56a - 60a, Market Street, Hindley, Wigan, England, WN2 3AN, 07590 995823",N/A,N/A,N/A
OriGym,N/A,"OriGym is a UK-leading provider of health and fitness qualifications. We offer a range of Ofqual-regulated and accredited courses including Personal Training, Sports Massage, Nutrition, and Yoga courses.    With more 5 star reviews than any other training provider and multiple award-nominations, including 'Education Provider…","10 Anjou Blvd, Wigan, Greater Manchester, WN5 0UJ",N/A,N/A,N/A
Read Easy,N/A,Read Easy provides free and confidential one-to-one reading coaching for adults. For enquiries ring 07823 895338.,N/A,N/A,N/A,N/A
Sibling group leader training,"Wednesday, 13th November 2024. 9.15am - 1.15pm","This training is for: Professionals who would like to run group support for young siblings Purpose of the training: To equip participants with information about how to structure sessions and run suitable activities, giving them the confidence and knowledge needed to set up a sibling…",N/A,N/A,N/A,N/A
Top Grades Education: Tutoring Service,"Open Monday - Friday 2pm - 8pm, Tuesday 9am - 9pm, Saturday 9am - 1pm","Does your child struggle to: understand methods and ideas? complete their homework? ask questions in class? Top Grades provides a purposeful relaxed environment free from distractions; a safe place to explore ideas, make mistakes and unearth misconceptions. We specialise in supporting young people to feel…","15, Cross Street, Standish, Wigan, Lancashire, WN6 0HQ, 07824776510, 07824549441",N/A,N/A,N/A
Tutorfair - Find Top Tutors Locally or Online,Sessions are arranged between tutors and clients.,"Find the best tutors in Wigan and online!  Tutorfair is a website that allows you to find and book top-quality tutors, both online and for face-to-face tuition. Tutorfair have hundreds of verified tutors in Wigan  and across the country. Our tutors specialise in Maths, English, French, Chemistry, Languages and much more. Book a…","10, Finsbury Square, London, London, EC2A 1AF, 02033224748",N/A,N/A,N/A
UK Tutors,N/A,"UK Tutors allows users to quickly and easily find local tutors in a wide range of academic subjects from English to Spanish, Physics to Philosophy. By using our search feature, you will be able to identify a number of suitable tutors operating within your local…",N/A,N/A,N/A,N/A
