Title,Schedule,Description,Location,Phone,Email,Website
A-Stars Early Education,N/A,"A-Stars Early Education is an early years educational facility in the Pemberton area, with close links to the M6/M58 motorways. There is also access via Pemberton train station. We are led by a team of highly qualified and experienced staff. Our director (Anna) has over…","Leopold Street, Pemberton, Wigan, Lancashire, WN5 8EF, 01942 211441",N/A,N/A,N/A
ABC Castle Nursery,N/A,"Our nursery is a family run business with a great family feel throughout. We offer a safe, secure environment for all our children. Safeguarding is paramount, and every one of us has a duty of care. We provide healthy meals and take all dietary requirements seriously.…","95, Church Street, Leigh, Lancashire, WN7 1AZ, 01942 707767",N/A,N/A,N/A
ABC Childcare @ Atherton Family Hub,N/A,"ABC Childcare is situated in Atherton Family Hub Centre, in the Atherton area of Greater Manchester. The Atherton Family Hub Centre, is attached to Meadowbank County Primary School. The building comprises of a purpose-built ground floor building constructed to meet disability discrimination act requirements. As a setting we work in…","Family Hub at Formby Avenue, Formby Avenue, Atherton, Manchester, M46 0HX, 01942 886111",N/A,N/A,N/A
ABC Childcare at Ince Community Centre,N/A,"ABC Childcare provides high quality childcare with positive experiences for all individual children’s Learning & Development, throughout all aspects of the EYFS. All staff are fully qualified at level 3 or above and are highly experienced in meeting all children's individual needs. We offer a fully…","ABC Childcare @ Ince Community Centre, Manchester Road, Ince, Wigan, Lancashire, WN2 2DJ, 01942233077, 07495334581",N/A,N/A,N/A
ABC Childcare at St Michaels,N/A,"The manager, Diane, and her assistant, Julie both have many years experience working with children and provide a caring and nurturing environment for every child in after-school club in term time only. Our prices are competitive and we allow some flexibility on booking in and…","Leigh Road, Atherton, M46 0PA, 07495 334579",N/A,N/A,N/A
ABC Childcare@ Ince Start Well Centre - After School Club,N/A,"ABC Childcare is a small private nursery situated in the Start Well Family centre of Ince. We have provided childcare to the local community since 2008.  We offer 24 places to the local schools for after-school club care between the hours of 3:15pm and 6:00pm, term time…","Charles Street, Ince, Wigan, WN2 2AL, 01942 767503 EXT1, 07495 334582",N/A,N/A,N/A
ABC Childcare@ Ince Start Well Family Centre,N/A,ABC Childcare is situated in Ince start well family centre next door to Ince CofE Primary and St Williams Primary School.  The Childcare room is based in one room with free flowing outdoor provision and access to a large sensory garden where we plan and carry out…,"Charles street, Ince, WIGAN, Lancashire, WN2 2AL, 01942 767503 EXT1, 07495 334582",N/A,N/A,N/A
ABC Private Day Nursery,N/A,"We are a family business and have all fully qualified level 3 staff including two with Early Years Teacher Status. We care for children in a small, friendly environment whilst offering a range of stimulating activities. We follow the Early Years Foundation Stage curriculum and…","235, Orrell Road, Orrell, WIGAN, WN5 8LY, 01942 222 001",N/A,N/A,N/A
ABC Private Day Nursery - Out of School and Holiday Club,N/A,"We are a family business, please contact us for information regarding before, after school or holiday childcare","235, Orrell Road, Orrell, Wigan, WN5 8LY, 01942 222 001",N/A,N/A,N/A
Abigail Heaton,N/A,"I work along side my husband Gary who is also an Ofsted registered Childminder. We offer arts & crafts, baking and many activites to enable childcare to learn through play. We have a large selection of toys and games for all ages. We have a good outside space…","Orrell, Wigan, WN5, 01695 363569, 07906 628 158",N/A,N/A,N/A
