Title,Schedule,Description,Location,Phone,Email,Website
Armed Forces Community HQ CIC,N/A,"Our not-for-profit organisation was established in 2018 to provide a safe space for the Armed Forces Community to belong, become socially included and access better life chances as we Unite our community, inspire access to positive activities that impact health and wellbeing and support our community to Achieve better life chances.…","Molyneux House, School Lane, Wigan, WN1 3SE, 01942 821293",N/A,N/A,N/A
Astley Street Park,N/A,"Astley Street Park is a beautiful and well kept small park with facilities including: playing fields, children's play area, bowling greens, football pitches and pavilion.","Tyldesley, MANCHESTER, M29 7BB",N/A,N/A,N/A
Black Scorpion Karate,"Monday 10-11, Monday 4-5, Wednesday 6-7, Thursday 6.30-7.30, Friday 4-5, Sunday 10-11","Step into the welcoming world of Black Scorpion Karate Club, a family-owned and operated Shotokan club dedicated to fostering inclusivity and personal growth. Our mission is to create a supportive environment where individuals of all ages and abilities feel embraced and empowered. As a new…","Unit B6a&B6b Pemberton Business Centre, Richmond Hill, Pemberton, Wigan, Greater Manchester, WN5 8AA",N/A,N/A,N/A
Borsdane Wood and Rayner Park Friends Group,Every Monday and Thursday at 10am,"We are an established community group of volunteers who care about these local green spaces. We have twice weekly work parties that monitor the woods, remove litter, report damage or issues, remove invasive plants, plant trees, and other duties under the supervision of Wigan Council.…","07884 164512, 01942 254219",N/A,N/A,N/A
Borsdane Wood Local Nature Reserve (LNR),Open all year round,"Borsdane Wood is Wigan's first Local Nature Reserve filled with wildlife, flowers and trees are all protected so people can enjoy them all year round. There is a footpath running the whole length with benches to sit on and simply take it all in at…","At the end of Hindley Mill Lane, Hindley, WIGAN, WN2 4BT",N/A,N/A,N/A
Colliers Wood,Open all year round,"Over 30 years ago this wood was an active coal mine with vast spoil heaps bordering the local houses. The 130 hectare woodland has since been dramatically landscaped to create open spaces, wildflower meadows and great views across the borough to Winter Hill, Astley Green…","Leigh, Wigan, WIGAN, WN7 2TR",N/A,N/A,N/A
Cosmos Walking Football (Over 35's),Monday's,"Walking Football is a slow paced, non-contact version of the beautiful game aimed at the over 35's, designed to help you keep an active lifestyle irrespective of your age, as well as getting you back to playing football... Cosmos Walking Football allows you to get…","Moss Lane, Platt Bridge, Wigan, Lancashire, WN2 3TJ",N/A,N/A,N/A
Crawford's Wood,Open all year round,"This is one of over 1,000 woods across the UK cared for by the Woodland Trust. Crawfords wood occupies 49.5 acres of land and on the west side of the village of Aspull and the site is mostly flat. Crawford's wood trees was planted in…","Wigan Road, Aspull, WIGAN, WN2 1DU",N/A,N/A,N/A
Firs Park,N/A,"Firs Park was developed from wastelands in 1921. The land and park were a gift to the local community from Sir John Holden of Tunnicliffe and Hampson, owners of the Firs Mills. The 15 acre park has retains its original layout. Features include an outdoor…","Firs Lane, Leigh, LEIGH, WN7 5BL",N/A,N/A,N/A
Get fit for free,N/A,Exercise guidelines and workouts to help improve your fitness and wellbeing. Take a look at the website below for information and ideas on what you can do to Get Fit For Free.,N/A,N/A,N/A,N/A
Golborne Parkside Bowling Club,N/A,"All are welcome to join us on Tuesday evenings at 7pm. for one of our friendly and informal bowling sessions, at only £2 a session. Help and advice will be given, if needed, bowls are available too. if you are a complete novice or experienced…","Rivington Avenue, Golborne, WA3 3HG",N/A,N/A,N/A
Hindley Pool and Leisure Centre,Days and Times open -See website link below,"The multi-purpose sports hall can accommodate various activities, including badminton, 5-a-side football, netball, volleyball and basketball. We also have squash courts and table tennis, so there's something for everyone. For more details please go to the webiste link below.","Borsdane Avenue, Hindley, Wigan, WN2 3QN, Hindley Pool - 01942 404886, Hindley LC - 01942 253142",N/A,N/A,N/A
Howe Bridge Leisure Centre,Days and Times open - See website link below,"Here at Howe Bridge Leisure Centre we think it's the best in the north west and we're sure that once you've visited us, you'll agree.  For more details please go to the webiste link below.","Eckersley Fold Lane, Atherton, MANCHESTER, LANCASHIRE, M46 0PJ, 01942 870403",N/A,N/A,N/A
Kirkless Wood,Open all year round,"Kirkless Wood lies to the north west of the village of Pennington Green near Wigan, Greater Manchester. The site was acquired and planted by the Woodland Trust in 1997. The woodland extends existing secondary woodland known as Woodshaw Ruck, which is owned by Wigan Metropolitan…","Wigan, WIGAN",N/A,N/A,N/A
Lady Mabel's Wood,N/A,"This is one of over 1,000 woods across the UK cared for by the Woodland Trust. Lady Mabel's Wood is a 65 acre woodland close to the centre of Wigan and next to Haigh Hall Country Park. The site came into Woodland Trust ownership in…","Haigh, WIGAN",N/A,N/A,N/A
Leigh Harriers Athletics Club,N/A,Leigh Harriers Athletics Club was formed in September of 1909 and has an unbroken record of providing athletics for all the community. In 2006 the club achieved Community Amateur Sports Club status and also became one of only four clubs in the Greater Manchester area…,"Turner Way, Leigh Sports Village, Leigh, WN7 4GX, 01942 605201",N/A,N/A,N/A
Leigh Leisure Centre,Days and Times open - See website link below,"With a 25m swimming pool and spectator seating for 180, multi-purpose sports hall consisting of badminton, basketball and netball courts and retractable seating for 280, as well the latest in fitness equipment and programming. The sports centre also holds numerous events throughout the year, including…","Sale Way, LEIGH, LANCASHIRE, WN7 4JY, 01942 487800",N/A,N/A,N/A
Leyland Park,N/A,"The Leyland Park is a beautiful and well kept small park with facilities including playing fields, playground, bandstand, tennis courts and football pitches.","Park Road, Hindley, WIGAN, WN2 3RX",N/A,N/A,N/A
Lilford Park,N/A,"Lilford Park was originally created in 1885 on 9 acres of land, in later years this was extended to over 51 acres. The extension included a large area of Bedford Wood and additional fields. The park includes a play area for all children aged 12…","The Avenue, LEIGH, WN7 1JB",N/A,N/A,N/A
Marsh Green Community Centre,N/A,"We are a totally independent charity based in the Marsh Green area of Wigan run completely by volunteers.  We provide a huge service for MS sufferers in our borough. Our centre helps with advice, therapies, information and lots more. Facilities Our Accessible Gym We have…",N/A,N/A,N/A,N/A
Mind Body Health Wellbeing CIC,Monday to Saturday,"Mind Body Health is a specialised programme that offers tailored mental and physical health services to individuals. The programme's primary goal is to provide personalised support to improve overall well-being. By employing a team of knowledgeable and certified personal trainers, MBH aims to become a…","125, Whelley Road, Wigan, WN1 3PX",N/A,N/A,N/A
OriGym,N/A,"OriGym is a UK-leading provider of health and fitness qualifications. We offer a range of Ofqual-regulated and accredited courses including Personal Training, Sports Massage, Nutrition, and Yoga courses.    With more 5 star reviews than any other training provider and multiple award-nominations, including 'Education Provider…","10 Anjou Blvd, Wigan, Greater Manchester, WN5 0UJ",N/A,N/A,N/A
Pennington Hall Park,Open all year round,"A pretty community park with play areas, tennis courts, bowling greens and a band stand. Events take place in the park throughout the year, including a popular Last Night of the Proms event in September.","St Helens Road, LEIGH, WN7 3UA",N/A,N/A,N/A
Robin Park Leisure Centre,Days and Times open - See website link below,"Home to a fantastic range of sports facilities and programming, the centre boasts a multi-purpose sports hall, badminton courts, first-class fitness suite, as well as tennis and gymnastics centres. Whether you're participating for fun or vowing for success in your chosen sport, there's something for…","Loire Drive, Wigan, WN5 0UH, 01942 828550",N/A,N/A,N/A
Roots to Wellbeing,"Wednesday to Friday, 10am to 3pm","Get More Out Of Your Life Roots to Wellbeing is a 7 week programme that can help you to improve your health, your wellbeing and your chances of finding work.   Our free team based programme will help you to: Meet new people Feel healthier Build your…","Wigan, Higherfolds, Leigh, Greater Manchester, WN1 1HP, 07714 082 041",N/A,N/A,N/A
Roots to Wellbeing,N/A,The Roots to Wellbeing course runs for 10 weeks with participants attending 2 days per week providing enrichment sessions delivered by our own staff and locality specialist to enable residents of Wigan and Leigh to be empowered to improve their own mental health thus resulting…,N/A,N/A,N/A,N/A
Sports Rehabilitation,Monday to Saturday 9am until 8pm,"You do not need to be a sports person to benefit from our services (This is just a title). From injury prevention to post-injury rehabilitation, we're dedicated to optimising performance and getting individuals back doing what they love swiftly and safely. Our comprehensive and personalised…","Leigh Spinners Mill, Park Lane, Leigh, Greater Manchester, WN7 2LB",N/A,N/A,N/A
Walmsley Park,Open all year round,"Walmsley Park has:  Area woodland and wetlands habitats    Extreme sports skate park which feature a mini-ramp, a Wembley gap, flatbank, quarter-pipes, jumpbox, stepped grind-box, grind boxes, a driveway, hipped flatbank, and a hipped quarter-pipe.   A children’s play area.","Manchester Road, Ince, WIGAN, WN2 2TA",N/A,N/A,N/A
Wheels for All,N/A,"Our Wheels For All sessions are delivered at Robin Park Arena, Wigan & Leigh Harriers Athletic Track, Leigh.  Sessions are available for ages 5 upwards for children and adults. Range of bikes available to book. Booking is essential for all sessions.","Robin Park HQ, Loire Drive, Wigan, WN5 0UH",N/A,N/A,N/A
Wigan and District Harriers and Athletics Club,N/A,"Here at Wigan we have one of the very best athletics facilities in Great Britain. We have a stand for spectators which also houses an indoor track, long jump pit, pole vault area, throws area and weights room.  Outside we have an eight lane track…","Loire Drive, Wigan, WN5 0UH, 01942 223340",N/A,N/A,N/A
Wigan Central Neighbourhood Family Hub (The Meadows),Open Monday to Friday,"Launched on 14th October 2023, Wigan Central Family Hub is the first of seven family hub networks across the borough.  Family hubs will operate as a network of services within your neighbourhood to provide accessible and connected services and support to all families. These services…","110-116, Ridyard Street, Wigan, WN5 9RQ, 01942 488000",N/A,N/A,N/A
Wigan Life Centre,Days and Times open -See website link below,"Located in the centre of Wigan, Wigan Life Centre boasts fantastic fitness and swimming facilities, providing local residents with an array of opportunities to get more active. This includes the latest gym equipment, a weekly programme of fitness classes and swimming lessons for all ages…","College Avenue, WIGAN, WN1 1NJ, 01942 489611",N/A,N/A,N/A
