Title,Schedule,Description,Location,Phone,Email,Website
Aspiring Futures,N/A,"Careers advice and guidanceIf you're a young person aged 13-16, you have the legal right to access independent and impartial information and advice from your school or college to help you make informed and realistic decisions about your future career. Speak to your high school or college…",N/A,N/A,N/A,N/A
Careers advice and guidance,N/A,"Information, advice and guidance on careers support for ages 13 to 30. Please visit the website below for full information.",N/A,N/A,N/A,N/A
Greater Manchester Apprenticeship & Careers Service (GMACS),N/A,"The Greater Manchester Apprenticeship & Careers Service (GMACS) helps young people explore and design their next steps before leaving school. The site brings together different stages of the career planning process, helping students navigate the choices open to them and develop the tools to start…",N/A,N/A,N/A,N/A
Groundwork Prince's Trust Team Programme,"Prince's Trust Team Programme is a FREE 16 week personal development course. It starts in September, January and May each year.","Groundwork is a local charity that helps change places and lives for thousands of people. They have an excellent track record of supporting young people and adults to make life changing decisions to improve their life skills, employment opportunities and create better outcomes for the…","74 - 80 Hallgate, Wigan, WIGAN, LANCASHIRE, WN1 1HP, 07715629928",N/A,N/A,N/A
The Hamlet at Hope School and College,N/A,"The Hamlet is a continuation of Hope School & College‘s ‘Outstanding’ Legacy provision. We offer term-time day-provision for those young people aged 19-25 with additional needs who, at the time of admission, are independently competent, working at RQF Entry Level 1 or above and aim to progress to full-time…","Three Sisters Rd, Ashton-In-Makerfield, Wigan, WN4 8DD, 01942 324196",N/A,N/A,N/A
"Learning, courses and training",Various,"No matter your age, there are learning, courses and training options for everyone.  Visit the website below to find out what's on offer.",N/A,N/A,N/A,N/A
National Careers Service,N/A,"The National Careers Service provides high quality, free and impartial careers advice, information and guidance. Our service is available to anyone aged 13+ no matter what stage of the careers journey you’re at. Please visit their website below for more information.",0800 100 900,N/A,N/A,N/A
Traineeships,N/A,"A traineeship is a 16 week full time programme of skills development and learning whilst ‘on the job’. Our Traineeship programme offers learners the chance to gain the skills, knowledge and experience needed to begin applying for apprenticeships/jobs in a job sector of their choosing.…","74-80 Hallgate, Wigan, Greater Manchester, WN1 1HP",N/A,N/A,N/A
West Lancashire College,N/A,"Based in the heart of Skelmersdale, West Lancashire College offers students a variety of courses to assist them in achieving their future career. West Lancashire College is a small, community based college, forming part of the NCG Group which is a large and successful national…","Northway Campus, College Way, Skelmersdale, Lancashire, WN8 6DX, 01695 52300",N/A,N/A,N/A
Wigan and Leigh College,N/A,"We have been providing quality education and training for the people of Wigan and beyond since 1857. We offer exceptional teaching, support and guidance in a range of academic, vocational, technical and apprenticeship programmes. We offer significant progression routes alongside key employability skills, preparing you…","Parson's Walk, Wigan, WN1 1RS, 01942 761 600",N/A,N/A,N/A
Wigan and Leigh Community Charity,Monday to Friday,"We provide support, including: - Accommodation - This is via our 2 main hubs at Platt Bridge Community Zone (Abram Ward) and Tudor House (Hindley) - Community Organising training - Education - We support the provision of Social Enterprise education to both Primary Schools and…","81 Platt Bridge Community Zone, Embrace Wigan And Leigh Ribble Road, Ribble Road, Platt Bridge, Wigan, Wigan, Greater Manchester, WN2 5EG",N/A,N/A,N/A
Working in Early Years and Childcare,N/A,"For further information, contact details and what to do next please go to the website below.",N/A,N/A,N/A,N/A
