Title,Schedule,Description,Location,Phone,Email,Website
Aspiring Futures,N/A,"Careers advice and guidanceIf you're a young person aged 13-16, you have the legal right to access independent and impartial information and advice from your school or college to help you make informed and realistic decisions about your future career. Speak to your high school or college…",N/A,N/A,N/A,N/A
Career Support for the Physical Activity Sector,Open Monday to Friday from 9am until 5:30pm,"Active Careers is a free service based in the North West that operates within the health, fitness and sport sector. We connect individuals looking for work who want to pursue an ""Active Career"" with employers, both small and large. Employers can post job roles for…","Stadium Way, Wigan, Lancarshire, WN5 0UN",N/A,N/A,N/A
Find a job -GOV.UK,N/A,"Find full or part-time jobs in England, Scotland and Wales. Use the ‘Find a job’ service to search and apply for jobs. This service has replaced Universal Jobmatch. Find a job   Further information that may be useful: Find a job - GOV.UK (www.gov.uk) Become…",N/A,N/A,N/A,N/A
greater jobs,N/A,greater.jobs is a careers and recruitment website managed by a collaboration of public sector employers led by Wigan Council who are responsible for this greater.jobs Careers and Recruitment website.,"WIGAN, WN1 1YN",N/A,N/A,N/A
Greater Manchester Apprenticeship & Careers Service (GMACS),N/A,"The Greater Manchester Apprenticeship & Careers Service (GMACS) helps young people explore and design their next steps before leaving school. The site brings together different stages of the career planning process, helping students navigate the choices open to them and develop the tools to start…",N/A,N/A,N/A,N/A
Jobcentre Plus,N/A,"Jobcentre Plus is part of the Department for Work and Pensions. Jobcentre Plus provides advice and information on a range of employment and training issues for people of working age. Helping find the right kind of jobs: full time or part time, temporary or permanent. Provides…","71 King Street, WIGAN, WN1 1EA, 0800 169 0190",N/A,N/A,N/A
National Careers Service,N/A,"The National Careers Service provides high quality, free and impartial careers advice, information and guidance. Our service is available to anyone aged 13+ no matter what stage of the careers journey you’re at. Please visit their website below for more information.",0800 100 900,N/A,N/A,N/A
STEPS.CIC,Available Monday to Friday 9:00am - 4:00pm,"We are a vibrant, professional and forward thinking service, where the achievement and personal development of each individual is recognised and celebrated. We believe that all of our attendees deserve the very best opportunities that enable them to reach their full potential. Please visit their…","Hope Enterprise Centre, Wigan, WN5 0PN",N/A,N/A,N/A
Supporting Skills and Futures Team,N/A,"The Supporting, Skills and Futures Team consists of four areas which are:  Preparing for Adulthood The Preparing for Adulthood Life Coach service deliver a personalised approach to supporting young people within local specialist schools, focusing on people from year 9 to help to define goals…",N/A,N/A,N/A,N/A
Wigan and Leigh College,N/A,"We have been providing quality education and training for the people of Wigan and beyond since 1857. We offer exceptional teaching, support and guidance in a range of academic, vocational, technical and apprenticeship programmes. We offer significant progression routes alongside key employability skills, preparing you…","Parson's Walk, Wigan, WN1 1RS, 01942 761 600",N/A,N/A,N/A
