Title,Schedule,Description,Location,Phone,Email,Website
Abram St. Johns Church Of England Primary School,N/A,"At St. John's, Abram we are committed to developing a learning environment that enables each child to achieve their full potential. At the heart of all we do are the Christian Values that build a firm foundation for learning, ensuring our high standards and expectations…","Simpkin Street, Abram, Wigan, WN2 5QE, 01942 703465",N/A,N/A,N/A
Aspull Church Primary,N/A,"We live out our school vision in all that we do at Aspull Church Primary School. We are passionate about providing an outstanding educational experience for all our children, with Christianity at the heart. At Aspull Church, we strive to work together as a team…","Bolton Road, Aspull, Wigan, Greater Manchester, WN2 1QT, 01942 746679, 01942 833931",N/A,N/A,N/A
Atherton Chowbent Primary,N/A,Choosing the right school for your child is a very important decision to make. I believe that Chowbent Primary School is a very special place within which your child will flourish and I hope you will think so too. At our school we pride ourselves…,"Laburnum Street, Atherton, MANCHESTER, M46 9FP, 01942 883410",N/A,N/A,N/A
Atherton St George's CE Primary School,N/A,"At St George's CE Primary School we are proud of our high expectations for attainment, achievement, attitude and behaviour, providing our pupils with high aspirations to be the best that they can be. We are committed to ensuring that every child, entrusted to our care,…","St. Georges C Of E Primary School, Derby Street, Atherton, Manchester, M46 0HJ, 01942 883971",N/A,N/A,N/A
Bedford Hall Methodist Primary School,N/A,"We pride ourselves on having a dedicated, nurturing teaching staff who are committed to providing all children with the very best educational outcomes. They encourage the children to develop confidence and independence by ensuring positive attitudes and high standards of work and behaviour. We strive…","Breaston Avenue, Leigh, WN7 3DJ, 01942 672614",N/A,N/A,N/A
Beech Hill Community Primary School,N/A,"Welcome to Beech Hill Community Primary School, a co-educational school for children aged between 3 and 11 years. The school was established in 1913 and has developed alongside the community it serves. Since it opened, thousands of children have passed through its doors and generations…","Netherby Road, Wigan, WN6 7PT, 01942 243582",N/A,N/A,N/A
Bickershaw CE Primary,N/A,"At Bickershaw Church of England Primary School, Christian values underpin the whole life of our school. Children, staff, governors and parents work together in a caring, loving Christian community; where all children are valued, appreciated, respected, and given a firm foundation for life. We seek…","Bickershaw Lane, Bickershaw, Wigan, WN2 4AE, 01942 866317",N/A,N/A,N/A
Britannia Bridge Primary School,N/A,"We provide the very best for ‘each and every one’ of our 2 to 11 year old children and our families. We are housed in a new, state of the art building, in the heart of Lower Ince (within easy reach of Wigan town centre).…","Winifred Street, Ince, Wigan, WN3 4SD, 01942 760036",N/A,N/A,N/A
Bryn St Peter's CE Primary,N/A,"We are very proud of our school and aim to ensure that we offer a secure, inclusive and caring environment where everyone is valued and respected. Our children are encouraged to build independence, resilience and confidence, through exploration and questioning via a range of exciting…","Downall Green Road, Ashton-in-makerfield, Wigan, WN4 0DL, 01942 204041",N/A,N/A,N/A
Canon Sharples CE Primary,N/A,"Canon Sharples is a Christ centred school that aims to place the curriculum within a Christian setting. We hope, in such a way, to inspire our pupils to grow in a personal understanding of all that it means to be human through the acquisition of…","Whelley, Wigan, WN2 1BP, 01942 776188",N/A,N/A,N/A
Castle Hill St. Philips CE Primary,N/A,"""Caring, Sharing and Learning Together with God"" We are part of a loving, Christian family and our Christian Values of: Love, Respect, Forgiveness and Perseverance are at the heart of all we do.We cultivate strong relationships between the school, church, parents/carers and the wider community…","Hereford Road, Hindley, WIGAN, LANCASHIRE, WN2 4DH, 01942 255578",N/A,N/A,N/A
Christ Church CE Primary (Pennington),N/A,"‘And the child grew and became strong...’ (Luke 2:40)  The golden thread in our vision is growth (firmly rooted in scripture) and the sense of belonging to one family. At Christ Church, we are a family with God at its heart. We help children to…","West Bridgewater Street, Leigh, LEIGH, LANCASHIRE, WN7 4HB, 01942 673667",N/A,N/A,N/A
Garrett Hall Primary School,N/A,"We are a fun, and vibrant school where pupils, staff, governors, parents and the school community work extremely hard to have high expectations of one another. We are committed to the highest standards of teaching and learning-achieved through a combination of challenges, support, encouragement and…","Garrett Lane, Tyldesley, Manchester, M29 7EY, 01942 883340",N/A,N/A,N/A
Gilded Hollins Community School,N/A,"Gilded Hollins is a happy, family school where respect and caring attitudes flourish and supportive relationships support children to be confident, kind and honest. The guiding principle of ‘Respect’ underpins all that we do here -  Respect for self; respect for others; respect for our…","St. Helens Road, Leigh, LEIGH, LANCASHIRE, WN7 3PQ, 01942 678903",N/A,N/A,N/A
Golborne Community Primary School,N/A,"Golborne CPS is part of the Mosaic Trust and provides Primary education for children between the ages of 3 and 11. Our constant aim is to facilitate children’s learning in a warm, encouraging and respectful community existing in a quality and stimulating environment. Our ethos…","Talbot Street, Golborne, Warrington, WA3 3NN, 01942 726059",N/A,N/A,N/A
Green Meadow Independent Primary School,N/A,"Green Meadow is situated within the heart of Lowton Village near Warrington, close to both Liverpool and Manchester. Green Meadow Independent Primary School is an extended school and offers a range of services such as a breakfast, afterschool and holiday club, which helps meet the…","Green Meadows Private Independent School, Robson Way, Lowton, Warrington, WA3 2RD",N/A,N/A,N/A
Highfield St. Matthew's C.E. Primary,N/A,"Highfield St Matthew’s is a happy and harmonious school and was quite rightly judged to be 'Good in all areas' in our most recent Ofsted inspection in March 2023. Our school team is dedicated to ensuring all children are happy, content, hardworking and successful. The…","Billinge Road, Wigan, WN3 6BL, 01942 747818",N/A,N/A,N/A
Hindley All Saints' Church of England Primary,N/A,"In recognition of its historic foundation, the school will preserve and develop its religious character in accordance with the principles of the Church of England in partnership with the Church and Diocese. The school aims to serve its community by providing an education of the…","Chapel Fields Lane, Hindley, Wigan, WN2 3QS, 01942 255577",N/A,N/A,N/A
Hindley Green Community Primary School,N/A,"Welcome to Hindley Green Community Primary School, a school at the heart of the local community. We are committed to developing a learning environment that is happy, safe, caring, exciting and full of opportunities. We aim to create a vibrant environment, where children feel challenged…","Thomas Street, Hindley Green, Wigan, WN2 4SS, 01942 255406",N/A,N/A,N/A
Hindley Green St John's CE Junior & Infants (The Keys Federation Multi Academy Trust),N/A,"St. John’s is a warm, welcoming and supportive school at the heart of our local community in Hindley Green. We pride ourselves on being a warm and friendly school that welcomes visitors and actively encourages a partnership with parents. We provide a high quality creative…","Atherton Road, Hindley Green, Wigan, WN2 4SD, 01942 255396",N/A,N/A,N/A
Hindley Junior & Infant School,N/A,"At Hindley J&I we strive to create a safe, inclusive and inspiring environment which enables everyone to believe in themselves and achieve their aspirations. We are proud of our high expectations for attainment, achievement, attitude and behaviour. Education is a partnership between home and school…","Hindley Junior & Infant School, Argyle Street, Hindley, Wigan, WN2 3PN, 01942 255339",N/A,N/A,N/A
Hindsford CE Primary,N/A,"'Our Best, Always Everywhere' At Hindsford CE Primary School, we have a school motto, which is focused on encouraging our children to always do their best. Our school vision is incredibly important to us and shared by all stakehoders. It is for each and every…","Lodge Road, Atherton, Manchester, M46 9BL, 01942 882409",N/A,N/A,N/A
