Title,Schedule,Description,Location,Phone,Email,Website
A-Stars Early Education,N/A,"A-Stars Early Education is an early years educational facility in the Pemberton area, with close links to the M6/M58 motorways. There is also access via Pemberton train station. We are led by a team of highly qualified and experienced staff. Our director (Anna) has over…","Leopold Street, Pemberton, Wigan, Lancashire, WN5 8EF, 01942 211441",N/A,N/A,N/A
ABC Castle Nursery,N/A,"Our nursery is a family run business with a great family feel throughout. We offer a safe, secure environment for all our children. Safeguarding is paramount, and every one of us has a duty of care. We provide healthy meals and take all dietary requirements seriously.…","95, Church Street, Leigh, Lancashire, WN7 1AZ, 01942 707767",N/A,N/A,N/A
ABC Childcare @ Atherton Family Hub,N/A,"ABC Childcare is situated in Atherton Family Hub Centre, in the Atherton area of Greater Manchester. The Atherton Family Hub Centre, is attached to Meadowbank County Primary School. The building comprises of a purpose-built ground floor building constructed to meet disability discrimination act requirements. As a setting we work in…","Family Hub at Formby Avenue, Formby Avenue, Atherton, Manchester, M46 0HX, 01942 886111",N/A,N/A,N/A
ABC Private Day Nursery,N/A,"We are a family business and have all fully qualified level 3 staff including two with Early Years Teacher Status. We care for children in a small, friendly environment whilst offering a range of stimulating activities. We follow the Early Years Foundation Stage curriculum and…","235, Orrell Road, Orrell, WIGAN, WN5 8LY, 01942 222 001",N/A,N/A,N/A
Appy Little Plums Ltd,N/A,"Appy Little Plums Ltd Day Nursery is a family run business managed by owner Vicky Halliwell. It opened in January 2015 and operates 4 rooms with associated facilities from a converted community centre in the heart of Westleigh, Lancashire. Children are cared for all on…","The Hall, Alma Street, Leigh, WN7 5JL, 01942 602010",N/A,N/A,N/A
Astley Nature Kindergarten,N/A,"Astley Nature Kindergarten is housed in a stunning detached property set in over an acre of grounds. Our property has been carefully extended and refurbished, retaining the original features and character whilst creating a bright and attractive environment with abundant space for learning.  We have dedicated…","Larkhill House, 320 Manchester Road, Astley, MANCHESTER, M29 7DY, 01942 897 739",N/A,N/A,N/A
The Avenue Private Day Nursery,N/A,"Welcoming children from a range of different ages, from six weeks to four years old, The Avenue Private Day Care provides fantastic childcare services to suit you, your child and your schedule. If you’re looking for a nursery in Leigh or surrounding areas that boast…","The Avenue, Leigh, WN7 1ET, 01942 261339",N/A,N/A,N/A
The Baby Cottage,N/A,"This provider has not yet completed their information page. For more information about this childcare service, please contact the Early Learning & Childcare Team on leyep@wigan.gov.uk and we will endeavour to put you in contact with them.","5, Marsh Green, Wigan, WN5 0PT",N/A,N/A,N/A
Bluestone Nursery,N/A,"Award winning Bluestone nursery offers children lots of fun and excitement as they learn new things and become independent and confident learners. Our staff are well qualified, all are paediatric first aid trained and have access to continual professional development. Our chef cooks and prepares…","351, Leigh Road, Leigh, WN7 1TN, 01942 512791",N/A,N/A,N/A
Bright Horizons Astley Nursery and Preschool,N/A,"Here at Bright Horizons we offer exceptional Childcare. We are a 75 place Nursery, open 5 days a week 7:15am to 6:00pm. Our Nursery Chef prepares and freshly cooks all of our meals on site; we cater for a variety of dietary and religious requirements.…","The Stables, Horridges Farm, Higher Green Lane, Tyldesley, Manchester, M29 7HQ, 01942 363620",N/A,N/A,N/A
