Title,Schedule,Description,Location,Phone,Email,Website
Bedford Hall Methodist Primary School - Nursery,N/A,"Learning offered in a safe and stimulating environment with access to high quality learning experiences, both indoor and outdoor, throughout the year. Our EYFS (Early Years Foundation Stage) promise to each child is that 'Every Day You Feel Special' in our care. Our setting is run by a…","Breaston Ave, Leigh, Lancashire, WN7 3DJ",N/A,N/A,N/A
Beech Hill Community Primary School Nursery,N/A,"Our full school day starts at 8:45am and finishes at 3:15pm. Our morning session finishes at 11:55am, and our afternoon session begins at 12:10pm Children may attend the nursery in the September following their third birthday. All children are entitled to 15 hours in Nursery…","Netherby Road, Beech Hill, Wigan, WN6 7PT, 01942 243582",N/A,N/A,N/A
Britannia Bridge Primary School - Nursery,N/A,"Britannia Bridge Primary School is a true community school, providing the very best for ‘each and every one’ of our 3- to 11-year-old children and their families. We are situated in the heart of Lower Ince, within easy reach of Wigan Town Centre. Our school…","Winifred Street, Lower Ince, WIGAN, LANCASHIRE, WN3 4SD, 01942 760036",N/A,N/A,N/A
Canon Sharples CE Primary School Nursery,N/A,Please contact us via the details below for more information. Please see the link to our latest Ofsted Report,"Whelley, WIGAN, WN2 1BP, 01942 776188",N/A,N/A,N/A
Douglas Valley Nursery School,N/A,We are a Nursery School offering a wide range of services for children and families. We offer early education sessions for 2 and 3/4 year olds. Extended day sessions (8:30am-9:00am and 3:30pm-4:00pm) are also available for 3 to 4 years olds. These are term time only. …,"Turner Street, Wigan, Lancs, WN1 3SU, 01942 705301",N/A,N/A,N/A
Fledglings Nursery,N/A,"We open 39 weeks of the year which is term-time only. The opening hours are 9:00am-3:00pm, Monday to Friday. We can support you with further extended wraparound care if needed within the school's Early Birds and Night Owls facility, between 7:30 am-9:00am and 3:00pm-5:30pm. We have extensive…","Wood Fold Primary School, Green Lane, Standish, Wigan, Lancashire, WN6 0TS, 01257 400271",N/A,N/A,N/A
Garrett Hall Primary - Nursery,N/A,"The provision we offer in our Nursery class is: 30 hours  - Monday to Friday 9:00am-3:00pm or 15 hours part time, consisting of: Monday, Tuesday all day and Wednesday morning or Wednesday afternoon, Thursday, Friday all day. We are immensely proud of our children! They…","Garrett Lane, Tyldesley, MANCHESTER, M29 7EY, 01942 883340",N/A,N/A,N/A
Golborne Community Primary School Nursery,N/A,"In our School Nursery, children are cared for by our team of specialist Early Years Teachers who plan exciting activities to move your child's learning forward. The children have access to brand new indoor and outdoor learning environments that are purpose-built and designed to promote…","Talbot Street, Golborne, Warrington, Cheshire, WA3 3NN, 01942 726059",N/A,N/A,N/A
Highfield St. Matthew's Primary - Nursery,N/A,"Mission Statement: We aim to provide a welcoming, caring, happy, Christian environment, where everyone is valued equally and achieves their full potential. Ofsted Report","Billinge Road, Highfield, WIGAN, LANCASHIRE, WN3 6BL, 01942 747818",N/A,N/A,N/A
Hindley All Saints CE Primary Nursery,N/A,"Our nursery is an integral part of our whole school community and as such, has access to the school facilities and extensive outdoor space including forest area, growing area and hens. Our highly skilled teachers are passionate practitioners and offer stimulating and varied learning experiences…","Chapel Fields Lane, Hindley, WIGAN, LANCASHIRE, WN2 3QS, 01942 255577 (School)",N/A,N/A,N/A
