Title,Schedule,Description,Location,Phone,Email,Website
ACE - Adult Community Education (Leigh),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"Magnum House, 33, Lord Street, LEIGH, WN7 1BY, 01942 262890",N/A,N/A,N/A
ACE - Adult Community Education (Wigan),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"46, Market St, WIGAN, WN1 1HX, 01942 829321",N/A,N/A,N/A
Adventure Golf - Haigh Hall,N/A,"18 holes featuring exciting challenges and obstacles. Take a ride on the viking boat, challenge yourself to the oak tree stump vortex hole and simply indulge in the stunning views making this an adventure golf course like no other.","School Lane, Haigh, Wigan, WN2 1PE, 01942 828280",N/A,N/A,N/A
Alexandra Park Skatepark,N/A,"Wigan Borough currently boasts two top skateparks in Ince (at Walmsely Park) and Newtown (at Alexandra Park, close to the ATS garage and Currys/McDonalds) which feature a mini-ramp, a Wembley gap, flatbank, quarter-pipes, jumpbox, stepped grind-box, grind boxes, a driveway, hipped flatbank, and a hipped…","Victoria Street, Newtown, WIGAN, WN5 9BN",N/A,N/A,N/A
Ashton Athletic FC,N/A,Football for under 7's to under 16's teams. For full information please visit the website below.,"Brocstedes Park, Brocstedes Road, Ashton-in-makerfield, Wigan, WN4 0NR, 07842 788193",N/A,N/A,N/A
Ashton Bears ARLFC,N/A,For information and contact details please visit their website below.,"Low Bank Road, Ashton-in-makerfield, Wigan, WN4 9RP",N/A,N/A,N/A
Ashton Park JFC,N/A,Football for under 5's to under 11's Full information on website below.,"St. Oswalds Primary School, Council Avenue, Ashton-in-makerfield, Wigan, WN4 9AZ",N/A,N/A,N/A
Ashton Park Skatepark (Jubilee Park),"No time restrictions, outdoor public facility","Wigan Borough currently boasts three top skateparks in Ince (at Walmsely Park), Ashton (Jubilee park) and Newtown (at Alexandra Park, close to the ATS garage and Currys/McDonalds) which feature a mini-ramp, a Wembley gap, flatbank, quarter-pipes, jumpbox, stepped grind-box, grind boxes, a driveway, hipped flatbank,…","Wigan Road, Ashton-in-Makerfield, WIGAN, WN4 9BH",N/A,N/A,N/A
Aspull Juniors Football Club,Please contact the club for details,"Aspull Juniors have teams for all ages, genders and abilities from 4 years old to open age, including girls teams at U10 & U11 age groups. Please go to the website below for full details.","Woods Road, Aspull, Wigan, WN2 1PJ",N/A,N/A,N/A
Astley & Tyldesley FC,N/A,"The club provides opportunities for young players from reception age with fun themed game sessions, and 6 - 18 years old with friendly games progressing to league and cup based competitions In 2008 we were delighted in setting up our first girl’s team and hope…","Astley, Manchester, M29 7DW",N/A,N/A,N/A
Astley and Tyldesley Collieries Cricket Club,Please contact the club for details,"If you are interested in joining our progressive and friendly club, we are always on the lookout for quality and committed cricketers at all levels.  Take a look at our website for more information.","Meanley Road, Tyldesley, MANCHESTER, M29 7DW, 01942 883067",N/A,N/A,N/A
Astley and Tyldesley Cycle Speedway Club,N/A,"Speedway is a fast, exciting form of cycling. The club meet regularly and compete with other clubs all over the country.  Have fun at the exciting sport of Cycle Speedway, on our superb race track. See if you can make it onto one of Astley…","Meanley Road, Tyldesley, MANCHESTER, M29 7DW",N/A,N/A,N/A
Atherton Collieries FC,N/A,Please visit their website for information and contact details.,"Alder Street, Atherton, Manchester, M46 9EY",N/A,N/A,N/A
Atherton Cricket Club,N/A,Please go to the website provided for information and to contact if you are interested in joining.,"Higham Park, Eckersley Fold Lane, Atherton, Manchester, M46 0RQ",N/A,N/A,N/A
Atherton Town FC,N/A,For information and contact details please visit their website.,"Howe Bridge Sports Centre, Leigh Road, Atherton, Manchester, M46 0PJ",N/A,N/A,N/A
Billinge Juniors FC,N/A,"The Club is affiliated to Lancashire FA who provide: governance, guidance and advice. Please visit our website for full information.","Rainford Road, Billinge, Wigan, WN5 7PG",N/A,N/A,N/A
Crazy Golf - Haigh Hall,N/A,"The course is open between Easter and October - 11am to 4pm weekends during term time, and daily during school holidays. A round of Crazy Golf costs £1 per player. Please visit the website provided to find out more.","School Lane, Haigh, Wigan, WN2 1PE",N/A,N/A,N/A
Culcheth Athletic FC,N/A,"The Club provides the opportunity for children from the ages of under 7 up to the ages of under 17 from the Culcheth, Glazebury, Croft, Winwick, Birchwood, and Lowton areas of North East Cheshire to play football in one of our 23 Teams.  The emphasis…","The Oaks Playing Fields (Opposite Taylor Business Park), Culcheth, Warrington, WA3 6BN",N/A,N/A,N/A
F.C. Britannia,N/A,It does this by providing well organised sessions with qualified coaches. We run from Britannia Bridge Community field at Britannia Bridge school in Lower Ince For more information please visit their Facebook page below.,"Winifred Street, Ince, WIGAN, WN3 4SD",N/A,N/A,N/A
FootGolf - Haigh Hall,N/A,"FootGolf blends two of our most popular sports and adds in a dash of fun. No plus fours are needed, no studded boots or shinpads. Simply follow the rules of golf and let your feet do the talking. If you can kick a ball you…","School Lane, Haigh, Wigan, WN2 1PE",N/A,N/A,N/A
Friends of Standish Recreation Ground,N/A,"The Friends of Standish Recreation Ground are a voluntary group set up to help protect and care for the recreation ground on Southlands Avenue, Standish, known locally as ""The Rec"".  The aims of the group include: Helping maintain and improve the Rec, Encouraging the use…",N/A,N/A,N/A,N/A
Give it a Grow Wigan,Every other Wednesday & Last Sunday of the Month,"Join us for gardening together sessions three times a month at St Anne's Community Garden in Beech Hill, where everyone is welcome. We host sessions every other Wednesday from 10 am and the last Sunday of the month from 12 pm. These sessions are always…","152 Beech Hill Ave, Wigan, Greater Manchester, WN6 7TA",N/A,N/A,N/A
Go Ape,N/A,"High up in this open, spacious site, our Treetop Challenge offers the perfect blend of blood-pumping action and beautiful country views. With 13-metre-high platforms and a brilliant free-falling Tarzan Swing, this is the only Go Ape location in the UK to feature a zip wire…","Great House Barn, Rivington Lane, Horwich, Bolton",N/A,N/A,N/A
Golborne Sports Junior Football Club,N/A,Visit their website below for more information and contact details,"Golborne High School (playing fields), Lowton Road, Golborne, Warrington, WA3 3EL",N/A,N/A,N/A
Greenslate Community Farm,N/A,For full information and details please visit the website below.,"Greenslate Community Farm, Greenslate Lodge, Greenslate Road, Billinge, Wigan, WN5 7BG",N/A,N/A,N/A
Haigh Hall and Country Park,Open all year round.,Facilities include: Haigh Hall Venue Nature trails and Woodlands Craft Gallery which holds craft classes Playground for children of all ages Crazy Golf Adventure Activities are available for groups through the Wardens Conservation Task Days Haigh Hall Golf Complex Haigh High Ropes Kitchen Courtyard Open…,"School Lane, Haigh, WIGAN, WN2 1PE",N/A,N/A,N/A
