Title,Schedule,Description,Location,Phone,Email,Website
ACE - Adult Community Education (Leigh),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"Magnum House, 33, Lord Street, LEIGH, WN7 1BY, 01942 262890",N/A,N/A,N/A
ACE - Adult Community Education (Wigan),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"46, Market St, WIGAN, WN1 1HX, 01942 829321",N/A,N/A,N/A
Ambitious youth network,N/A,"Young people will be able to take part in peer support sessions, share experiences and find volunteering, work experience and employment opportunities. There will also be opportunities for them to work together and campaign for change. Please select the website link below for more information.…",020 8815 5444,N/A,N/A,N/A
Ashcroft School,"School Term Time- Monday to Thursday 9:00am to 3:15pm, Friday 9.00 am to 2.15pm","Ashcroft School is a specialist school in Stockport that supports students aged 8 to 18 who have social, emotional and mental health difficulties. Students may also have other difficulties such as school phobia, anxiety, depression, or have diagnoses of ADHD, foetal alcohol syndrome, acquired brain injury (ABI)…","Together Trust Campus, Schools Hill, Cheadle, Stockport, Cheshire, SK8 1JE, 0161 283 4832, 0161 283 4848",N/A,N/A,N/A
The Blossom Programme,N/A,"The Blossom Programme links with schools and colleges to provide day-release workshops for young people with additional needs aged 16-25. There are opportunities for students to gain nationally recognised Open Awards and Arts Awards, and take part in a range of fun and interactive activities.…","Unit 2 The Edge, Pottery Terrace, Wigan, Greater Manchester, WN3 5DN, 01942 735426, 07947 184393",N/A,N/A,N/A
Bridge College - A special FE college,Monday to Friday 9am until 3:30pm,"We’re here to give students a voice in their future and get them ready for a happy, fulfilled adulthood. Our flexible curriculum means students can make choices about their education and our support gives them the tools to succeed. We develop individual learning plans shaped to suit each student’s…","Openshaw Campus, Whitworth Street, Manchester, M11 2GR, 0161 487 4293",N/A,N/A,N/A
Building Opportunities - Together Trust,Monday - Friday,"Building Opportunities is perfect for young people who prefer to get hands-on. Part of Ashcroft services, students learn the skills to enter one of the fastest growing industries in the UK – construction.      As well as getting young people re-engaged with curriculum learning, Building Opportunities…","Schools Hill, Cheadle, Cheshire, SK8 1JE, 01612834832",N/A,N/A,N/A
Council for Disabled children,N/A,"About We are the umbrella body for the disabled children's sector bringing together professionals, practitioners and policy-makers. Our Work We work collaboratively, from policy into practice, to ensure the best outcomes for children and young people. Resources and Help Check out our resource hub for the…",N/A,N/A,N/A,N/A
Duke of Edinburgh's Award,N/A,"The Duke of Edinburgh’s Award (D of E) is a programme of adventurous, practical and cultural activities to help you learn new skills and meet new friends. The Award is recognised all over the country as being a great achievement so is a good thing…",WN5 0UU,N/A,N/A,N/A
FIX It UK,N/A,"Fix It (UK) is a charity based in Wigan that offers alternative, vocational education for school aged learners (14-16 years old) and further education for learners (16-24 years old) that have an EHC plan or are classed as ‘Not in Education, Employment or Training’ (NEET).…",N/A,N/A,N/A,N/A
The Hamlet at Hope School and College,N/A,"The Hamlet is a continuation of Hope School & College‘s ‘Outstanding’ Legacy provision. We offer term-time day-provision for those young people aged 19-25 with additional needs who, at the time of admission, are independently competent, working at RQF Entry Level 1 or above and aim to progress to full-time…","Three Sisters Rd, Ashton-In-Makerfield, Wigan, WN4 8DD, 01942 324196",N/A,N/A,N/A
Happy Smiles Training CIC,Mondays - Fridays from 9.30am - 3.30pm.,"Happy Smiles Training CIC is a non-profit training provider, set up with the aim of creating inclusive communities, by empowering disabled young adults to deliver awareness and inclusion training across schools, community groups, businesses and more.  In the past two years, we have delivered training to over 3500 children, young people and…","Mesnes Street, Wigan, WN1 1AR, 07917221503",N/A,N/A,N/A
Inscape House School,School Term Time- Monday to Friday 8:55am to 3:00pm,"Inscape House School has 105 places for young people aged 5 to 19 who have autism and associated communication difficulties as their primary need.   https://www.togethertrust.org.uk/inscape-house-school   Inscape House School’s Vision Together we learn, grow and succeed. Together we conquer barriers and surpass expectations. Inscape…","Together Trust Campus, Schools Hill, Cheadle, Stockport, Cheshire, SK8 1JE, 0161 283 4750, 0161 283 4848",N/A,N/A,N/A
Just BU,N/A,"Our service supports and encourages even the shyest of people to get out there, and Just Be You. Just BU can help with: Develop Your Independence Gain Work Experience Get Qualified Get Involved with the Community Have Fun For more information on all the above…","Hindsford House, Printshop Lane, Atherton, Manchester, M46 9BJ",N/A,N/A,N/A
Midstream (West Lancs) Ltd,N/A,"Work Activity, Training & Day Care Our standard social care programme for young people and adults – all ages – who are disadvantaged in the world of work through learning disabilities.  Pathways to Adulthood An enhanced social care programme dedicated to young people – ages…","2 Penrose Place, Up Holland, Skelmersdale, LANCASHIRE, WN8 9PR",N/A,N/A,N/A
More Than Words,"Open Mondays, Tuesdays, Wednesdays and Fridays from 9am to 4pm, and Thursdays 9am to 6.30pm","Are you an aspiring actor or drama queen?  More Than Words is a not-for-profit community organisation in Wigan that supports children, young people and adults with disabilities and/or autism. We specialise in drama, music, sports and healthy living activities, but we also provide opportunities for young…","Unit 2 The Edge, Pottery Terrace, Wigan, Greater Manchester, WN3 5AB, 01942 735426",N/A,N/A,N/A
My Life,Open Monday to Friday from 9am to 6pm,"We aim to reduce social isolation and loneliness by bringing people together. With My Life, you can meet new friends, build relationships, learn new things, gain confidence, be more independent, have fun and take an active part in your local community. Our services We offer a range of services, tailored to…","Thompson House Equestrian Centre, Off Pepper Lane, Standish, Wigan, Greater Manchester, WN6 0PP, 01257 472 900",N/A,N/A,N/A
My Life at Leigh Sports Village,Open Monday to Friday from 9am until 6pm,"We aim to reduce social isolation and loneliness by bringing people together. With My Life, you can meet new friends, build relationships, learn new things, gain confidence, be more independent, have fun and take an active part in your local community. Our services We offer…","Leigh Sports Village, Sale Way, Leigh, WN7 4JY",N/A,N/A,N/A
Runshaw College,N/A,"As a student at Runshaw College, you are at the heart of everything we do. Our simple ambition is that you are happy and fulfilled whilst achieving your dreams and ambitions during your time with us. We aim to provide: the very best teaching exceptional pastoral care, provided by our team of specialist personal tutors…","Langdale Road, Leyland, PR25 3DQ, 01772 642020",N/A,N/A,N/A
St John Rigby College,N/A,St John Rigby College is a Catholic sixth form college with a distinctive mission and ethos.  We welcome applications from all students who respect our mission and who are happy to be educated within a Christian environment. We encourage all students to be the best…,"Gathurst Rd, Orrell, Wigan, WN5 0LJ, 01942 214797",N/A,N/A,N/A
