Title,Schedule,Description,Location,Phone,Email,Website
Armed Forces Community HQ CIC,N/A,"Our not-for-profit organisation was established in 2018 to provide a safe space for the Armed Forces Community to belong, become socially included and access better life chances as we Unite our community, inspire access to positive activities that impact health and wellbeing and support our community to Achieve better life chances.…","Molyneux House, School Lane, Wigan, WN1 3SE, 01942 821293",N/A,N/A,N/A
"Beavers, Cubs and Scouts",N/A,N/A,N/A,N/A,N/A,N/A
Boys Brigade,N/A,"The Boys' Brigade provides a balanced programme of activities for children and young people from 5 to 18 years old. The Anchor Section is the youngest section in the BB and is for children aged between 5 and 8.  Activities include making things, crafts, music,…",0300 303 4454,N/A,N/A,N/A
"Rainbows, Brownies, Girl Guides",N/A,"Rainbows is our section for girls aged five to seven (four to seven in Northern Ireland). Rainbows is all about developing self-confidence, building friendships, learning new things and having fun. Brownies is our section for girls aged seven to ten. Through regular meetings, special events,…",N/A,N/A,N/A,N/A
Scouts,"Various times, contact the individual clubs for details",Scouting provides fun activities and personal development skills for young people between 6 and 18 years to enjoy.  To find your nearest group go to Scouts and enter your postcode.,WIGAN,N/A,N/A,N/A
Sea Cadets,N/A,"This groups offers all young people aged 10 - 18 a chance for personal development by working in teams and learning life skills and do outdoor activities like sailing, boating and rock climbing. Information on the local Sea Cadets For more information please visit their…","Molyneux House, School Lane, Wigan, WN1 3SE",N/A,N/A,N/A
St John Ambulance Badgers (ages 5-11),N/A,"Badgers take part in a wide range of fun activities based on essential first aid and other fascinating topics, earning badges and certificates for each one. Our Badger programme covers a wide range of subjects and activities, from first aid to communication skills, to healthy…",N/A,N/A,N/A,N/A
St John Ambulance Cadets (ages 10-17),N/A,Life saving skills are at the heart of our Cadet programme. There is also the opportunity to use these first aid skills by supporting our adult volunteers at events. Many Cadets join St John Ambulance to gain relevant experience before pursuing a career as a…,N/A,N/A,N/A,N/A
St Peters Pavilion,N/A,"St Peters Pavilion Limited, was formed in 2005. The founder members, Hindley St. Peter's Church, Hindley St. Peter's Cricket Club, Hindley ARLFC, St. Peter's Boys' Brigade and St. Peter's Girl Guides came together to work towards providing a much needed facility for the town of…","Hurst St, Hindley, WN2 3DN",N/A,N/A,N/A
St Thomas Church Ashton,N/A,Please visit their website provided and take a look at the Young Peoples activities taking place at St Thomas Church.,"18, Warrington Road, Ashton-in-makerfield, Wigan, WN4 9PL",N/A,N/A,N/A
