Title,Schedule,Description,Location,Phone,Email,Website
Atherton High School,N/A,"Atherton High School is part of the Education Partnership Trust (EPT) which is committed to creating outstanding schools which transform learning, lives and communities; a principle which is palpable when you walk our corridors. Our school has a culture built around our values of ‘respect,…","Hamilton Street, Atherton, Manchester, Greater Manchester, M46 0AY, 01942 885500",N/A,N/A,N/A
Bedford High School,N/A,"At Bedford, we have high expectations, which are set in a creative and caring context. We believe in a culture of achievement because we know that exam success is important to everyone. Equally important to us are the spiritual, moral, social and cultural development of…","Manchester Road, Leigh, LEIGH, WN7 2LU, 01942 909009",N/A,N/A,N/A
Byrchall High School,N/A,"At Byrchall we offer an exciting and stimulating learning environment with access to one of the broadest range of subject options in the region. In addition to more traditional subjects, every student is taught how to harness the latest technologies to equip them with the…","Warrington Road, Ashton-in-Makerfield, WIGAN, LANCASHIRE, WN4 9PQ, 01942 728221",N/A,N/A,N/A
Cansfield High School,N/A,"Cansfield is an inclusive 11 to 16 secondary school and every member of our team does their upmost to provide a high standard of education, care and support to the students who form the bedrock of our community. At Cansfield we have high aspirations for…","Old Road, Ashton-in-makerfield, Wigan, WN4 9TP, 01942 727391",N/A,N/A,N/A
Dean Trust Rose Bridge,N/A,"Dean Trust Rose Bridge caters to approximately 700 pupils, aged 11-16. We operate a three year Key Stage 3 and a two year Key Stage 4. As part of our protocols, we have a number of over-arching aims and a mission that pervades all of…","Holt Street, Ince, Wigan, WN1 3HD, 01942 510712",N/A,N/A,N/A
Dean Trust Wigan,N/A,"Our vision, along with Dean Trust Rose Bridge, is to provide two good schools that the community is proud of. That is what parents, quite rightly, expect. Our common purpose is dedicated to helping children develop into confident, successful and responsible adults who are able…","Greenhey, Orrell, WIGAN, WN5 0DQ, 01942 511987",N/A,N/A,N/A
Deanery CE High School and Sixth Form College,N/A,"he Deanery Church of England High School and Sixth Form College is an 11 – 18 Voluntary Aided School within the Diocese of Liverpool, situated in the centre of Wigan. As a Church of England school, we aim to provide an education for life, enabling all…","Frog Lane, WIGAN, LANCASHIRE, WN1 1HQ, 01942 768801",N/A,N/A,N/A
Fred Longworth High School,N/A,"Established in 1964, Fred Longworth High School is a large 11-16, mixed comprehensive school with 1300 students on roll. It is a wonderful school, renowned for its family atmosphere and excellent reputation for innovative teaching and learning. Our reputation locally means that we are always…","Printshop Lane, Tyldesley, MANCHESTER, M29 8JN, 01942 883796",N/A,N/A,N/A
Golborne High School,N/A,"Golborne High School is a learning community where all pupils believe they can achieve. Our aim is very simple: to ensure that all of our pupils dream, ambitious dreams which we make possible. We are determined to ensure that every child in the Golborne and…","Lowton Road, Golborne, Warrington, WA3 3EL, 01942 726842",N/A,N/A,N/A
Green Meadow Independent Primary School,N/A,"Green Meadow is situated within the heart of Lowton Village near Warrington, close to both Liverpool and Manchester. Green Meadow Independent Primary School is an extended school and offers a range of services such as a breakfast, afterschool and holiday club, which helps meet the…","Green Meadows Private Independent School, Robson Way, Lowton, Warrington, WA3 2RD",N/A,N/A,N/A
Hawkley Hall High School,N/A,"We are an 11 – 16 mixed comprehensive of around 1130 students and 150 staff situated to the west of Wigan. We are a community of students, staff, parents and governors with a common goal. We strive for the highest standards in everything we do.…","Carr Lane, WIGAN, WN3 5NY, 01942204640",N/A,N/A,N/A
Low Bank Ground Outdoor Activity Centre,N/A,"Low Bank Ground is an outdoor activity centre that sits on the beautiful shores of Coniston Water, in the heart of the Lake District National Park. With spectacular natural environment at our disposal, our team of qualified and experienced instructors have been providing high quality…","Low Bank Ground, Coniston, LA21 8AA, 01942 489844",N/A,N/A,N/A
Lowton Church of England High School,N/A,"The Governors and staff of Lowton Church of England High School are committed to the provision of a high-quality education in a Christian context. We aim to provide a school where we can live out our ethos of Caring, Learning and Succeeding on a daily…","Newton Road, Lowton, WARRINGTON, WA3 1DU, 01942 767040",N/A,N/A,N/A
Oakfield High School,N/A,At Oakfield High School and College we understand the importance of preparing our young people for the future and we will help them to develop the skills and qualities they will need to make a positive contribution to the community.The opportunities and challenges offered at…,"Long Lane, Hindley Green, WIGAN, WN2 4XA, 01942 776142",N/A,N/A,N/A
Outwood Academy Hindley,N/A,"We are based in the large, friendly town of Wigan in Greater Manchester. We are excited and confident about Outwood Academy Hindley's journey to Outstanding as part of the Outwood Family. We are a welcoming and supportive academy, with a relentless determination to provide the…","Mornington Road, Hindley, WIGAN, WN2 4LG, 01942 767704",N/A,N/A,N/A
Secondary Schools,N/A,Here you can find information about applying for your child’s secondary school: National Offer Day Applying for secondary schools Late applications Church Forms Select the link below for full details. Secondary School Admissions If you are new to the area and are unsure where your local…,N/A,N/A,N/A,N/A
Shevington High School,N/A,"At Shevington High School we are committed to maintaining the very highest standards. Our task, on your behalf and in partnership with you, is to ensure that all our pupils have a personalised journey to success. Our positive approach seeks to identify and nurture the…","Shevington Lane, Shevington, WIGAN, WN6 8AB, 01257 400990",N/A,N/A,N/A
St Edmund Arrowsmith Catholic High School,N/A,"Our aim has always been to inspire every pupil to want to make the world a better place. This aim sits above all others in defining an education for our pupils. Our Catholic faith is central to everything we do, and our pupils are asked…","Rookery Avenue, Ashton-in-Makerfield, WIGAN, WN4 9PF, 01942 728651",N/A,N/A,N/A
St John Fisher Catholic High School,N/A,We are a thriving Catholic school community serving young people in the middle of Wigan. We believe in delivering a broad and balanced curriculum underpinned by a strong faith experience and an excellent pastoral care system. We believe every child deserves to feel safe and…,"Baytree Road, WIGAN, WN6 7RN, 01942 510715",N/A,N/A,N/A
St Marys Catholic High School - (Astley),N/A,St. Mary’s is a successful and unique 11-18 school and 6th Form. St Mary's is first and foremost a Catholic high school rooted in the teachings and example of Jesus Christ and the values of the Gospel. We endeavour to offer the best to all pupils…,"Manchester Road, Astley, MANCHESTER, M29 7EE, 01942 884144",N/A,N/A,N/A
St Peter's Catholic High School,N/A,"We are very proud of our school and its commitment to providing all our students with a high-quality and fully-rounded Catholic education. St Peter’s is a high-achieving school, setting and achieving very high expectations for our learners. We are also committed to providing outstanding pastoral care…","Howards Lane, Orrell, WIGAN, LANCASHIRE, WN5 8NU, 01942 747693",N/A,N/A,N/A
Standish Community High School,N/A,"Standish Community High School is a thriving 11-16 school, set on an extensive and well-resourced campus in Standish, Wigan. We are a vibrant, caring and forward thinking school, where the achievement and personal development of each student go hand in hand. At Standish Community High…","Kenyon Road, Standish, WIGAN, LANCASHIRE, WN6 0NX, 01257 422265",N/A,N/A,N/A
The Westleigh School,N/A,Our values and ethos are integral to everything we do at the Westleigh School. They have been distilled into the following statement: At Westleigh we aspire to fulfil our dreams & achieve with all our might. Together we tackle the barriers that may stand in our…,"Westleigh Lane, LEIGH, WN7 5NL, 01942 202580",N/A,N/A,N/A
