Title,Schedule,Description,Location,Phone,Email,Website
ACE - Adult Community Education (Leigh),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"Magnum House, 33, Lord Street, LEIGH, WN7 1BY, 01942 262890",N/A,N/A,N/A
ACE - Adult Community Education (Wigan),Monday to Friday 9am until 4pm,WHAT ACE OFFERS: Person Centred Service ASDAN Qualifications and Awards Qualified Tutors and Support Workers Fun and Exciting Opportunities Skills for Life and Employment Skills Offsite Activities WHY CHOOSE ACE? Locations in both Wigan and Leigh Accessible by Public Transport or Taxis Opportunity to Make…,"46, Market St, WIGAN, WN1 1HX, 01942 829321",N/A,N/A,N/A
Just BU,N/A,"Our service supports and encourages even the shyest of people to get out there, and Just Be You. Just BU can help with: Develop Your Independence Gain Work Experience Get Qualified Get Involved with the Community Have Fun For more information on all the above…","Hindsford House, Printshop Lane, Atherton, Manchester, M46 9BJ",N/A,N/A,N/A
Living Faith Church,Sunday at 11am,"Living Faith Church meet every Sunday at 10:30am for a service lead by Bishop Steven Lyn Evans.  This service is followed by coffees, teas and treats.  Bishop Steven also speaks on Living Faith Church Facebook Live every Wednesday at 7:30pm, follow our page for more…","25, Church Street, Orrell, Wigan, WN5 8TG",N/A,N/A,N/A
More Than Words,"Open Mondays, Tuesdays, Wednesdays and Fridays from 9am to 4pm, and Thursdays 9am to 6.30pm","Are you an aspiring actor or drama queen?  More Than Words is a not-for-profit community organisation in Wigan that supports children, young people and adults with disabilities and/or autism. We specialise in drama, music, sports and healthy living activities, but we also provide opportunities for young…","Unit 2 The Edge, Pottery Terrace, Wigan, Greater Manchester, WN3 5AB, 01942 735426",N/A,N/A,N/A
Mums in the Know (Families),N/A,"Find all the information you need to get the most out of family life so you can rely on us for upto date information on local family and children's events, activities, clubs and classes, holiday activities, children's parties, eating out, local services and much,…",N/A,N/A,N/A,N/A
My Life,Open Monday to Friday from 9am to 6pm,"We aim to reduce social isolation and loneliness by bringing people together. With My Life, you can meet new friends, build relationships, learn new things, gain confidence, be more independent, have fun and take an active part in your local community. Our services We offer a range of services, tailored to…","Thompson House Equestrian Centre, Off Pepper Lane, Standish, Wigan, Greater Manchester, WN6 0PP, 01257 472 900",N/A,N/A,N/A
Stubshaw Cross Community & Sports Club,N/A,"Varies activities and events at Stubshaw Cross Community & Sports Club, please visit their Facebook page for information and contact details","Stubshaw Cross Labour Club, Walter Street, Ashton-in-makerfield, Wigan, WN4 8TP",N/A,N/A,N/A
TENS 2 TEENS - ACTIVITIES IN & AROUND WIGAN,various activities,"This group is aimed at parents and carers of young people in and around the Wigan area. Share information on activities, events, clubs and volunteer opportunities in or around the Wigan area. Please visit their Facebook page link below for full information.",N/A,N/A,N/A,N/A
TOTS 2 TENS - ACTIVITIES IN & AROUND WIGAN,N/A,"Share information on activities, events, days out and play centres in or around the Wigan area. Aimed at tots up to ten, but everyone welcome! Please visit their Facebook page link below for full details.",N/A,N/A,N/A,N/A
Wigan Youth Cabinet/Wigan Youth Parliament,N/A,"If you want to change something that affects young people in Wigan Borough, the Youth Cabinet might be for you. They campaign to make things better for young people in Wigan. For more information and contact details please select the link provided Wigan and Leigh…","WIGAN, WN1 1NJ, 01942 487100",N/A,N/A,N/A
